"";"wf1";"outliers";"rob";"ma_method";"dependency";"mean";"lb";"ub";"p";"k";"set";"full_set"
"1";"wf1_a";"not_outlier";"exclude_worst";"reml";"ignore";0,343106881905921;0,1840809475523;0,502132816259542;2,35018174091769e-05;15;"1,2,4,9,10,12,13,14,16,17,21,23,25,28,30";0
"2";"wf1_b";"not_outlier";"exclude_worst";"reml";"ignore";0,333958067477581;0,181461560688291;0,48645457426687;1,76910033195761e-05;15;"3,5,6,7,8,11,15,18,19,20,22,24,26,27,29";0
"3";"all wf1";"not_outlier";"exclude_worst";"reml";"ignore";0,338299261999113;0,230184601146861;0,446413922851365;8,63016028946894e-10;30;"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30";0
"7";"wf1_a";"not_outlier";"include_best";"reml";"ignore";-0,047268275209786;-0,215693795375506;0,121157244955934;0,582278321169032;5;"21,23,25,28,30";0
"8";"wf1_b";"not_outlier";"include_best";"reml";"ignore";-0,0161189588060991;-0,178342323616808;0,14610440600461;0,845590701416645;5;"22,24,26,27,29";0
"9";"all wf1";"not_outlier";"include_best";"reml";"ignore";-0,0311095383725659;-0,147949888349174;0,0857308116040427;0,601772162375564;10;"21,22,23,24,25,26,27,28,29,30";0
"13";"wf1_a";"not_outlier";"all rob";"reml";"ignore";0,454440503903608;0,251479122955192;0,657401884852025;1,14158403055329e-05;17;"1,2,4,9,10,12,13,14,16,17,21,23,25,28,30,37,48";0
"15";"all wf1";"not_outlier";"all rob";"reml";"ignore";0,396387355928885;0,269634625101877;0,523140086755894;8,82690548370558e-10;32;"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,37,48";0
"16";"wf1_a";"all effects";"all rob";"reml";"ignore";0,953480862838731;0,57065801704442;1,33630370863304;1,05228332775487e-06;23;"1,2,4,9,10,12,13,14,16,17,21,23,25,28,30,36,37,38,39,40,42,47,48";0
"17";"wf1_b";"all effects";"all rob";"reml";"ignore";1,09312657011934;0,74882502722627;1,4374281130124;4,88639594561858e-10;27;"3,5,6,7,8,11,15,18,19,20,22,24,26,27,29,31,32,33,34,35,41,43,44,45,46,49,50";0
"18";"all wf1";"all effects";"all rob";"reml";"ignore";1,02884504678816;0,774657368173463;1,28303272540285;2,13722107451314e-15;50;"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50";1
"19";"wf1_a";"not_outlier";"exclude_worst";"fe";"ignore";0,338235173535481;0,242044438890023;0,434425908180938;5,50849403089879e-12;15;"1,2,4,9,10,12,13,14,16,17,21,23,25,28,30";0
"20";"wf1_b";"not_outlier";"exclude_worst";"fe";"ignore";0,33365703655136;0,234611884057435;0,432702189045285;4,04001661839902e-11;15;"3,5,6,7,8,11,15,18,19,20,22,24,26,27,29";0
"21";"all wf1";"not_outlier";"exclude_worst";"fe";"ignore";0,336013024723912;0,267008844154642;0,405017205293183;1,37474509619827e-21;30;"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30";0
"25";"wf1_a";"not_outlier";"include_best";"fe";"ignore";-0,047268275209786;-0,215693795375506;0,121157244955934;0,582278321169032;5;"21,23,25,28,30";0
"26";"wf1_b";"not_outlier";"include_best";"fe";"ignore";-0,0161189588060991;-0,178342323616808;0,14610440600461;0,845590701416645;5;"22,24,26,27,29";0
"27";"all wf1";"not_outlier";"include_best";"fe";"ignore";-0,0311095383725659;-0,147949888349174;0,0857308116040427;0,601772162375564;10;"21,22,23,24,25,26,27,28,29,30";0
"31";"wf1_a";"not_outlier";"all rob";"fe";"ignore";0,417627629973259;0,325519671568524;0,509735588377993;6,29548677689688e-19;17;"1,2,4,9,10,12,13,14,16,17,21,23,25,28,30,37,48";0
"33";"all wf1";"not_outlier";"all rob";"fe";"ignore";0,378685726580042;0,311236309403931;0,446135143756154;3,65729380279017e-28;32;"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,37,48";0
"34";"wf1_a";"all effects";"all rob";"fe";"ignore";0,751275789762938;0,667226958663086;0,835324620862791;1,0214181443749e-68;23;"1,2,4,9,10,12,13,14,16,17,21,23,25,28,30,36,37,38,39,40,42,47,48";0
"35";"wf1_b";"all effects";"all rob";"fe";"ignore";0,956934094213101;0,878942990173465;1,03492519825274;8,68897076021727e-128;27;"3,5,6,7,8,11,15,18,19,20,22,24,26,27,29,31,32,33,34,35,41,43,44,45,46,49,50";0
"36";"all wf1";"all effects";"all rob";"fe";"ignore";0,861782575126884;0,804612809008394;0,918952341245375;7,68487349985631e-192;50;"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50";1
"37";"wf1_a";"not_outlier";"exclude_worst";"reml";"aggregate";0,3377191336797;0,169703194757609;0,505735072601792;8,16140417536501e-05;14;"1,2,4,9,10,12,13,14,16,17,21,23,25,28,30";0
"38";"wf1_b";"not_outlier";"exclude_worst";"reml";"aggregate";0,325837481933562;0,166598951345628;0,485076012521495;6,0584494744499e-05;14;"3,5,6,7,8,11,15,18,19,20,22,24,26,27,29";0
"39";"all wf1";"not_outlier";"exclude_worst";"reml";"aggregate";0,312799798049661;0,192611841809475;0,432987754289848;3,37899605709306e-07;25;"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30";0
"49";"wf1_a";"not_outlier";"all rob";"reml";"aggregate";0,457364736670983;0,241970806270383;0,672758667071583;3,15800515137904e-05;16;"1,2,4,9,10,12,13,14,16,17,21,23,25,28,30,37,48";0
"51";"all wf1";"not_outlier";"all rob";"reml";"aggregate";0,379938299289682;0,235517906747053;0,524358691832312;2,51965574647801e-07;27;"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,37,48";0
"52";"wf1_a";"all effects";"all rob";"reml";"aggregate";0,920896073089556;0,525387987555761;1,31640415862335;5,02944833358763e-06;21;"1,2,4,9,10,12,13,14,16,17,21,23,25,28,30,36,37,38,39,40,42,47,48";0
"53";"wf1_b";"all effects";"all rob";"reml";"aggregate";0,97073741757917;0,61717851884372;1,32429631631462;7,39453305430092e-08;23;"3,5,6,7,8,11,15,18,19,20,22,24,26,27,29,31,32,33,34,35,41,43,44,45,46,49,50";0
"54";"all wf1";"all effects";"all rob";"reml";"aggregate";0,949368338490118;0,669748875803026;1,22898780117721;2,84264499069686e-11;40;"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50";1
"55";"wf1_a";"not_outlier";"exclude_worst";"fe";"aggregate";0,334128956081254;0,235169177264116;0,433088734898393;3,64965308498226e-11;14;"1,2,4,9,10,12,13,14,16,17,21,23,25,28,30";0
"56";"wf1_b";"not_outlier";"exclude_worst";"fe";"aggregate";0,327975684425693;0,227235242498099;0,428716126353287;1,75983567545842e-10;14;"3,5,6,7,8,11,15,18,19,20,22,24,26,27,29";0
"57";"all wf1";"not_outlier";"exclude_worst";"fe";"aggregate";0,320504233004736;0,248002040517828;0,393006425491643;4,54515280999263e-18;25;"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30";0
"67";"wf1_a";"not_outlier";"all rob";"fe";"aggregate";0,418111719615274;0,323581326868873;0,512642112361675;4,35934505431222e-18;16;"1,2,4,9,10,12,13,14,16,17,21,23,25,28,30,37,48";0
"69";"all wf1";"not_outlier";"all rob";"fe";"aggregate";0,368155110185707;0,297450051187673;0,438860169183742;1,8761925512531e-24;27;"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,37,48";0
"70";"wf1_a";"all effects";"all rob";"fe";"aggregate";0,750976079741863;0,664647878492989;0,837304280990736;3,50210138766384e-65;21;"1,2,4,9,10,12,13,14,16,17,21,23,25,28,30,36,37,38,39,40,42,47,48";0
"71";"wf1_b";"all effects";"all rob";"fe";"aggregate";0,913749900114381;0,833401164593641;0,994098635635121;4,69294765233863e-110;23;"3,5,6,7,8,11,15,18,19,20,22,24,26,27,29,31,32,33,34,35,41,43,44,45,46,49,50";0
"72";"all wf1";"all effects";"all rob";"fe";"aggregate";0,835928962610841;0,775651865895265;0,896206059326416;1,09007357899152e-162;40;"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50";1
"73";"wf1_a";"not_outlier";"exclude_worst";"puniform";"aggregate";0,142872160412898;-0,108594872698494;0,397231297506674;0,268386336685514;14;"1,2,4,9,10,12,13,14,16,17,21,23,25,28,30";0
"74";"wf1_b";"not_outlier";"exclude_worst";"puniform";"aggregate";0,220161764642983;-0,0143030742146746;0,462554895594058;0,0661547273124157;14;"3,5,6,7,8,11,15,18,19,20,22,24,26,27,29";0
"75";"all wf1";"not_outlier";"exclude_worst";"puniform";"aggregate";0,167020596434328;-0,0158251836261626;0,352873574691831;0,0737181474940255;25;"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30";0
"79";"wf1_a";"not_outlier";"include_best";"puniform";"aggregate";-0,0400979308368662;-0,21278627504091;0,142515743518616;0,657250892601893;5;"21,23,25,28,30";0
"80";"wf1_b";"not_outlier";"include_best";"puniform";"aggregate";-0,00584613459124202;-0,174098818096629;0,17456464795285;0,947075181427253;5;"22,24,26,27,29";0
"81";"all wf1";"not_outlier";"include_best";"puniform";"aggregate";-0,0224718989173248;-0,14349700742368;0,1039521040755;0,721502130122872;10;"21,22,23,24,25,26,27,28,29,30";0
"85";"wf1_a";"not_outlier";"all rob";"puniform";"aggregate";0,291791506165419;-0,061435837943376;0,634199786538162;0,105304976700784;16;"1,2,4,9,10,12,13,14,16,17,21,23,25,28,30,37,48";0
"87";"all wf1";"not_outlier";"all rob";"puniform";"aggregate";0,260487818377167;0,0292475442016796;0,490722330111427;0,0271288027757029;27;"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,37,48";0
"88";"wf1_a";"all effects";"all rob";"puniform";"aggregate";0,858599466301861;0,232298849210807;1,44052924950571;0,00787300585740262;21;"1,2,4,9,10,12,13,14,16,17,21,23,25,28,30,36,37,38,39,40,42,47,48";0
"89";"wf1_b";"all effects";"all rob";"puniform";"aggregate";1,16256724443174;0,695435818125404;1,60031176275198;3,06586124075987e-06;23;"3,5,6,7,8,11,15,18,19,20,22,24,26,27,29,31,32,33,34,35,41,43,44,45,46,49,50";0
"90";"all wf1";"all effects";"all rob";"puniform";"aggregate";1,04042485331522;0,634550587151;1,42576452368129;1,24605242382738e-06;40;"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50";1
"91";"wf1_a";"not_outlier";"exclude_worst";"pet-peese";"aggregate";0,268947046627675;-0,413523165848329;0,951417259103678;0,407372141215149;14;"1,2,4,9,10,12,13,14,16,17,21,23,25,28,30";0
"92";"wf1_b";"not_outlier";"exclude_worst";"pet-peese";"aggregate";0,332053271429175;-0,487501389844279;1,15160793270263;0,394698744827122;14;"3,5,6,7,8,11,15,18,19,20,22,24,26,27,29";0
"93";"all wf1";"not_outlier";"exclude_worst";"pet-peese";"aggregate";0,397538828022715;-0,121353708798282;0,916431364843711;0,126652795297486;25;"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30";0
"97";"wf1_a";"not_outlier";"include_best";"pet-peese";"aggregate";-0,00806474562360266;-0,432686842085993;0,416557350838787;0,955603747526975;5;"21,23,25,28,30";0
"98";"wf1_b";"not_outlier";"include_best";"pet-peese";"aggregate";-0,134742850149734;-0,500312497486179;0,23082679718671;0,32545781858892;5;"22,24,26,27,29";0
"99";"all wf1";"not_outlier";"include_best";"pet-peese";"aggregate";-0,0406844944744329;-0,241326475699859;0,159957486750993;0,652549182620394;10;"21,22,23,24,25,26,27,28,29,30";0
"103";"wf1_a";"not_outlier";"all rob";"pet-peese";"aggregate";0,0907607034923914;-0,733225485934694;0,914746892919477;0,816664154986843;16;"1,2,4,9,10,12,13,14,16,17,21,23,25,28,30,37,48";0
"105";"all wf1";"not_outlier";"all rob";"pet-peese";"aggregate";0,234206200838167;-0,367561742893715;0,83597414457005;0,430357384182669;27;"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,37,48";0
"106";"wf1_a";"all effects";"all rob";"pet-peese";"aggregate";-0,586450179482661;-2,00296375277241;0,830063393807088;0,39700974160812;21;"1,2,4,9,10,12,13,14,16,17,21,23,25,28,30,36,37,38,39,40,42,47,48";0
"107";"wf1_b";"all effects";"all rob";"pet-peese";"aggregate";-0,0462321420202737;-2,01306088911039;1,92059660506984;0,961474272978896;23;"3,5,6,7,8,11,15,18,19,20,22,24,26,27,29,31,32,33,34,35,41,43,44,45,46,49,50";0
"108";"all wf1";"all effects";"all rob";"pet-peese";"aggregate";-0,43096753781889;-1,62118573365288;0,759250658015097;0,468047082700393;40;"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50";1
"111";"all wf1";"not_outlier";"exclude_worst";"3-level";"modeled";0,318357108341524;0,199802428658594;0,436911788024453;1,41624823325327e-07;30;"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30";0
"123";"all wf1";"not_outlier";"all rob";"3-level";"modeled";0,382340813277412;0,239804970012634;0,52487665654219;1,46071298386112e-07;32;"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,37,48";0
"124";"wf1_a";"all effects";"all rob";"3-level";"modeled";0,939975880477072;0,540944781124418;1,33900697982973;3,89363523537566e-06;23;"1,2,4,9,10,12,13,14,16,17,21,23,25,28,30,36,37,38,39,40,42,47,48";0
"125";"wf1_b";"all effects";"all rob";"3-level";"modeled";0,982442014746265;0,623626967202115;1,34125706229041;8,03163886664789e-08;27;"3,5,6,7,8,11,15,18,19,20,22,24,26,27,29,31,32,33,34,35,41,43,44,45,46,49,50";0
"126";"all wf1";"all effects";"all rob";"3-level";"modeled";0,965908418923781;0,682966944788;1,24884989305956;2,21734682954008e-11;50;"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50";1
"129";"all wf1";"not_outlier";"exclude_worst";"rve";"modeled";0,318357108341524;0,193109327625338;0,443604889057709;2,5625032939697e-05;30;"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30";0
"141";"all wf1";"not_outlier";"all rob";"rve";"modeled";0,382340813277412;0,232742153990867;0,531939472563957;1,85273514432853e-05;32;"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,37,48";0
"142";"wf1_a";"all effects";"all rob";"rve";"modeled";0,939975880477072;0,515218293341048;1,3647334676131;0,000167725621019173;23;"1,2,4,9,10,12,13,14,16,17,21,23,25,28,30,36,37,38,39,40,42,47,48";0
"143";"wf1_b";"all effects";"all rob";"rve";"modeled";0,982442014746265;0,602641416676258;1,36224261281627;2,19359151803663e-05;27;"3,5,6,7,8,11,15,18,19,20,22,24,26,27,29,31,32,33,34,35,41,43,44,45,46,49,50";0
"144";"all wf1";"all effects";"all rob";"rve";"modeled";0,965908418923781;0,67384489473405;1,25797194311351;5,76683833355301e-08;50;"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50";1
